id,title,description,product_id,slug,api,ilsac,acea,jaso,oem_sertification,recommendations,pds_url,sds_url,created_at,oil_type_id,product_group_id,viscosity_id,image,application,features_benefits
28,Aminol™  Hydraulic HVLP 15,"Aminol™ HVLP 68 is a high-performance anti-wear hydraulic oil derived from premium quality raffinates. Engineered to deliver exceptional protection and performance, it excels in various applications, including most mobile equipment, operating efficiently across a wide range of ambient temperatures.",AL/HF-0021,aminoltm-hydraulic-hvlp-15,Not available,Not available,Not available,Not available,"DIN 51524-3 (HV)
ISO 11158 (HV)
ASTM D6158 (HV)
Eaton E-FDGN-TB002-E
JCMAS P041 HK
AIST 126/127
SAE MS 1004
GM LS 2",Not available,,,2025-05-24 08:24:59.751+00,,13,,"","Industrial and mobile equipment hydraulic systems operating at high pressures and temperatures in critical applications
Systems where cold start-up and high operating temperatures are typical
Systems requiring a high degree of load-carrying capability and anti-wear protection
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Excellent anti-foam properties
Ultra clean performance"
260,Aminol™ ScootForce 4T 10W-30,Aminol™ ScootForce 4T 10W-30 is an advanced motor oil designed for 4-stroke scooters featuring a dry clutch and separately lubricated transmission. It has been engineered to deliver exceptional performance and protection across various operating conditions.,AE/ML-0008,aminoltm-scootforce-4t-10w-30,SN,Not available,Not available,MB,Not available,Not available,,,2025-05-24 08:25:01.783+00,,3,7,product/SCOOTFORCE_4T_10W301.png,Aminol™ ScootForce 4T 10W-30 is recommended for use in air and water-cooled 4-stroke engines exposed to normal to tough operating conditions.,"Outstanding thermo-oxidative stability
Exceptional anti-wear, anti-rust, and anti-corrosion properties
Superb fuel economy and improved drivability
Impressive dispersancy and detergency
Superior shear stability
Remarkable low-temperature behavior
Low-volatility characteristics"
86,Aminol™ GearSynth 680,"Aminol™ GearSynth 680 is a fully synthetic, premium-performance, extreme-pressure lubricant specifically designed for enclosed industrial gears and bearings that operate under severe load conditions and extreme temperatures. Formulated using synthetic PAO base oils and selected additive technologies, it provides excellent protection against corrosion, wear, micropitting, and offers an extended oil service life due to its exceptional thermal stability",AL/GO-0014,aminoltm-gearsynth-680,Not available,Not available,Not available,Not available,"AIST 224
AGMA 9005-F16-AS
DIN51517-3 (CLP)
ISO 12925-1 Type CKD
FAG
SKF",Not available,,,2025-05-24 08:25:00.212+00,,19,18,"","Aminol™ GearSynth 680 is suitable for application in industrial transmissions, where roller and plain bearings are subjected to high pressure and also for large-scale plants with pressure-feed lubrication systems.","Long drain intervals
Exceptional film strength and extreme pressure resistance
Robust protection against rust and corrosion
Extended equipment life
Effective water separation and demulsification characteristics
Low foaming tendency"
5,Aminol™ SlideFlow 150,"Aminol™ SlideFlow 150 is specially designed for the lubrication of machine tool slides, tables and feed mechanisms. It features exceptional quality base oils and special additives to offer excellent adhesive and friction properties, prevent stick-slip and ensure smooth movement.",AL/SO-0005,aminoltm-slideflow-150,Not available,Not available,Not available,Not available,"DIN 51502 CGLP
DIN 51517-3 (CLP)
ISO 19378 GA & GB
ISO 11158 HG
SO 6743-4 (L-HG)
ISO 6743-13 (L-GA, L-GB)",Not available,,,2025-05-24 08:24:59.525+00,,10,,"","Aminol™ SlideFlow 150 is suitable for slideways, tables, carriages, guides and all machining center applications where a tacky extreme pressure lubricant is required. It may also be used for the lubrication of headstocks, cross feeds, saddles and gearboxes.","Superior oxidation stability
Exceptional adhesiveness
High load carrying capacity 
Excellent demulsification
Controlled frictional characteristics
Long term rust and corrosion protection
Multi-material capabilities"
7,Aminol™ SlideFlow 320,"Aminol™ SlideFlow 320 is specially designed for the lubrication of machine tool slides, tables and feed mechanisms. It features exceptional quality base oils and special additives to offer excellent adhesive and friction properties, prevent stick-slip and ensure smooth movement.",AL/SO-0007,aminoltm-slideflow-320,Not available,Not available,Not available,Not available,"DIN 51502 CGLP
DIN 51517 Part 3
ISO 19378 GA & GB
ISO 11158 HG
SO 6743-4 (L-HG)
ISO 6743-13 (L-GA, L-GB)",Not available,,,2025-05-24 08:24:59.545+00,,10,,"","Aminol™ SlideFlow 320 is suitable for slideways, tables, carriages, guides and all machining center applications where a tacky extreme pressure lubricant is required. It may also be used for the lubrication of headstocks, cross feeds, saddles and gearboxes.","Superior oxidation stability
Exceptional adhesiveness
High load carrying capacity 
Excellent demulsification
Controlled frictional characteristics
Long term rust and corrosion protection
Multi-material capabilities"
10,Aminol™ Hydraulic 68,"Aminol™ Hydraulic 68 is a high-quality mineral oil-based hydraulic fluid enriched with additives to improve aging stability and guard against corrosion. With anti-foaming properties, it offers protection against wear and rust while demonstrating excellent filterability.",AL/HF-0003,aminoltm-hydraulic-68,Not available,Not available,Not available,Not available,"DIN 51524-1 (HL)
DIN 51517-2 (CL)
ISO 11158 HL
ISO-L-HL",Not available,,,2025-05-24 08:24:59.577+00,,13,,"","Low- and medium-duty hydraulic systems where antiwear performance is not required.
Circulation systems.
Low-duty equipment.","Good thermal and oxidation stability
Stable lubricating film between friction surfaces
Extended oil change intervals and equipment lifetime
Rapid air release, coupled with low foaming
Effective corrosion protection"
73,Aminol™ Gear Oil CLP 46,"Aminol™ Gear Oil CLP 46 is a premium quality industrial gear oil with outstanding extreme pressure characteristics, made of carefully selected base stocks and the latest sulfur phosphorus additives. Its special active substance combination offers excellent load carrying capacity and micro-pitting performance providing long component life even under shock loading conditions.",AL/GO-0001,aminoltm-gear-oil-clp-46,Not available,Not available,Not available,Not available,"AIST 224
David Brown S1.53.101(E)
AGMA 9005-E02
DIN51517-3 (CLP)",Not available,,,2025-05-24 08:25:00.111+00,,19,6,"","Aminol™ Gear Oil CLP 46 is recommended for industrial applications operating under heavy duty conditions such as heavy loading, slow speed, shock loads and in wide extremes of temperature. This includes, but is not limited to, enclosed industrial spur, bevel, herringbone, helical and epicyclic gears, chain drives, sprockets and most metal-on-metal systems requiring extreme-pressure lubricant.","Outstanding wear protection 
Exceptional sludge and deposit control
Low tendency to foam
Excellent anti-corrosion properties
High pressure-absorption capability
Extended equipment life
Better compatibility with seal materials"
74,Aminol™ Gear Oil CLP 68,"Aminol™ Gear Oil CLP 68 is a premium quality industrial gear oil with outstanding extreme pressure characteristics, made of carefully selected base stocks and the latest sulfur phosphorus additives. Its special active substance combination offers excellent load carrying capacity and micro-pitting performance providing long component life even under shock loading conditions.",AL/GO-0002,aminoltm-gear-oil-clp-68,Not available,Not available,Not available,Not available,"AIST 224
David Brown S1.53.101(E)
AGMA 9005-E02
DIN51517-3 (CLP)
ISO 12925-1 Type CKC",Not available,,,2025-05-24 08:25:00.119+00,,19,6,"","Aminol™ Gear Oil CLP 68 is recommended for industrial applications operating under heavy duty conditions such as heavy loading, slow speed, shock loads and in wide extremes of temperature. This includes, but is not limited to, enclosed industrial spur, bevel, herringbone, helical and epicyclic gears, chain drives, sprockets and most metal-on-metal systems requiring extreme-pressure lubricant.","Outstanding wear protection 
Exceptional sludge and deposit control
Low tendency to foam
Excellent anti-corrosion properties
High pressure-absorption capability
Extended equipment life
Better compatibility with seal materials"
153,Aminol™ AirTec 150,Aminol™ AirTec 150 is a high-performance lube oil specially engineered to meet the stringent requirements of major compressor manufacturers . It has been blended from carefully selected base oils and a well-balanced additive package to ensure excellent corrosion protection and ageing resistance as well as a low tendency to form carbon residues and deposits.,AL/CF-0005,aminoltm-airtec-150,Not available,Not available,Not available,Not available,"DIN 51506 VDL (VB, VC)
ISO 6743/3A  (L-DAA)",Not available,,,2025-05-24 08:25:00.807+00,,12,,"","Reciprocating compressors transmitting air, inert (non-corrosive) and hydrocarbon gases
Reciprocating compressors up to 160 °C compression discharge temperature
Oil lubricated sliding and rolling bearings","Remarkable anti-wear performance 
Better low-temperature fluidity
Resistant to aging over time
Decreased deposits in discharge lines
Improved water-separating properties"
255,Aminol™ Mototech 4T 10W-40,"Aminol™ Mototech 4T 10W-40 is an advanced 4-stroke motorcycle oil designed to deliver ultimate performance and protection of the engine even in extreme operating conditions.  Its unique formulation incorporates high-quality base stocks and performance-boosting additives to provide optimum lubrication, outstanding engine cleanliness, excellent friction and minimum wear.",AE/ML-0003,aminoltm-mototech-4t-10w-40,SN,Not available,Not available,MA2,Not available,Not available,,,2025-05-24 08:25:01.748+00,,3,8,product/MOTOTECH_4T_10W40-1L1_ZjkqV1B.png,"Aminol™ Mototech 4T 10W-30 is suitable for high-performance, air, and water-cooled four-stroke motorcycles, whether equipped with or without a wet clutch. It is also ideal for motorcycles with exhaust after-treatment systems such as catalytic converters or secondary air injection","Protects against wear, deposits, and sludge
Extends engine life and improves performance
Maintains cleanliness and reduces oil consumption
Ensures superior performance in varied temperatures"
40,Aminol™ Hydraulic HLPD 46,"Aminol™ Hydraulic HLPD 46 is a premium-quality hydraulic fluid with pronounced detergent and dispersing properties. It ensures consistently high performance and ultimate cleanliness in industrial and mobile hydraulic systems, even under heavy load conditions and in environments affected by water and dust.",AL/HF-0034,aminoltm-hydraulic-hlpd-46,Not available,Not available,Not available,Not available,"DIN 51524-2 (HLPD)
ISO 6743/4 (HM)
MAN N 698
Daimler DBL 6721",Not available,,,2025-05-24 08:24:59.857+00,,13,,"","Aminol™ Hydraulic HLPD 46 is suitable for a broad spectrum of industrial and manufacturing applications that demand a high level of dispersancy, especially in instances of water ingress or contamination. It is particularly recommended for use in the hydraulic systems of machine tools, where there is a risk of water-mixed cutting fluids entering the hydraulic system.","Outstanding water emulsifying ability
Superior anti-wear properties
Remarkable resistance to oxidation and thermal degradation
Exceptional foam control and rapid air release properties
Effective corrosion protection
Excellent cleaning properties"
11,Aminol™ Hydraulic 100,"Aminol™ Hydraulic 100 is a high-quality mineral oil-based hydraulic fluid enriched with additives to improve aging stability and guard against corrosion. With anti-foaming properties, it offers protection against wear and rust while demonstrating excellent filterability.",AL/HF-0004,aminoltm-hydraulic-100,Not available,Not available,Not available,Not available,"DIN 51524-1 (HL)
DIN 51517-2 (CL)
ISO 11158 HL
ISO-L-HL",Not available,,,2025-05-24 08:24:59.587+00,,13,,"","Low- and medium-duty hydraulic systems where antiwear performance is not required.
Circulation systems.
Low-duty equipment.","Good thermal and oxidation stability
Stable lubricating film between friction surfaces
Extended oil change intervals and equipment lifetime
Rapid air release, coupled with low foaming
Effective corrosion protection"
288,Aminol™ Hydraulic HVLP 22 Zinc Free,Aminol™ Hydraulic HVLP 32 Zinc Free,AL/HF-0028,aminoltm-hydraulic-hvlp-22-zinc-free,Not available,Not available,Not available,Not available,Not available,Not available,,,2025-05-24 08:25:01.253+00,,13,,product/SPG7-4L.jpg,Not available,Not available
12,Aminol™ Hydraulic 150,"Aminol™ Hydraulic 150 is a high-quality mineral oil-based hydraulic fluid enriched with additives to improve aging stability and guard against corrosion. With anti-foaming properties, it offers protection against wear and rust while demonstrating excellent filterability.",AL/HF-0005,aminoltm-hydraulic-150,Not available,Not available,Not available,Not available,"DIN 51524-1 (HL)
DIN 51517-2 (CL)
ISO 11158 HL
ISO-L-HL",Not available,,,2025-05-24 08:24:59.597+00,,13,,"","Low- and medium-duty hydraulic systems where antiwear performance is not required.
Circulation systems.
Low-duty equipment.","Good thermal and oxidation stability
Stable lubricating film between friction surfaces
Extended oil change intervals and equipment lifetime
Rapid air release, coupled with low foaming
Effective corrosion protection"
114,Aminol™ Transmission 75W-140 LS GL-5,"Aminol™ Transmission 75W-140 LS GL-5 is a synthetic, multi-purpose hypoid gear oil with exceptionally high-performance reserves, developed specifically for limited-slip applications. It excels across diverse temperature ranges, ensuring smooth shifting and an extended transmission life",AL/TF-0033,aminoltm-transmission-75w-140-ls-gl-5,GL,Not available,Not available,Not available,"MIL-L-2105 D
SCANIA STO 1:0
Ford WSL-M2C 192-A
BMW MSP/A
ZF TE-ML 05D/21D",Not available,,,2025-05-24 08:25:00.471+00,,7,28,"","Aminol™ Transmission 75W-140 LS GL-5 is recommended for use in all types of synchronized manual transmissions (including heavy-duty), in differentials (including LS with excessive friction), steering equipment and other transmission parts where API GL-5 LS oil is required.","Superior wear resistance
Exceptional resistance to aging
Extended oil-change intervals
Outstanding corrosion protection
High-pressure absorption capability
Reduced running noise
High compatibility with seals
Excellent viscosity/temperature properties"
137,Aminol™ Advance AC5 15W-40 CF-4/SG,"Aminol™ Advance AC5 15W-40 CF-4/SG is a high performance, heavy duty engine oil that provides proven protection to naturally aspirated and turbo charged diesel engines operating under a wide variety of service conditions. It has been designed to meet the requirements of API CF-4, CF and SG performance categories.",AL/EO-0069,aminoltm-advance-ac5-15w-40-cf-4sg,CF-4/SG,Not available,Not available,Not available,Not available,"ACEA E2
MAN 270
Allison C-4
MB 228.1
Caterpillar TO-2
Volvo VDS
Mack EO-K2",,,2025-05-24 08:25:00.667+00,,1,15,"","Wide range of turbocharged and non-turbocharged diesel engines requiring API CF-4, CF as well as SG performances, and meeting Euro 2 emission standard 
On-highway heavy-duty trucks, buses including mixed fleets with gasoline engines
Off-highway applications including agriculture, mining, construction, quarrying vehicles","Improved protection against corrosion, and deposits
Exceptional engine cleanliness and reduced sludge formation
Excellent viscosity control and engine protection in high-temperature operations
Superior cold-start performance and wear protection during low-temperature operations
Outstanding piston and ring seal protection
Compatible with most engine seals and gaskets"
231,Aminol™ Advance AC2 15W-40 SG/CD,Aminol™ Advance AC2 15W-40 SG/CD is a mineral year-round multifunctional motor oil designed to deliver outstanding engine protection and cleanliness. It has been formulated with high quality base stocks and advanced additive technology to guarantee optimum lubrication under all operating conditions.,AL/EO-0047,aminoltm-advance-ac2-15w-40-sgcd,SG/CD,Not available,Not available,Not available,Not available,Not available,,,2025-05-24 08:25:01.471+00,,1,15,"",Aminol™ Advance AC2 15W-40 SG/CD is suitable for use in automotive gasoline and diesel engines where the manufacturer recommends an API SG/CD or earlier specification 15W-40 lubricant.,"Provides excellent protection against wear and extends engine life
Helps to prevent the formation of deposits and sludge, keeping engines clean and running smoothly
Protects engine parts against rust and corrosion
Offers high thermal stability and resistance to oxidation, ensuring long-lasting engine performance"
13,Aminol™ Hydraulic 220,"Aminol™ Hydraulic 220 is a high-quality mineral oil-based hydraulic fluid enriched with additives to improve aging stability and guard against corrosion. With anti-foaming properties, it offers protection against wear and rust while demonstrating excellent filterability.",AL/HF-0006,aminoltm-hydraulic-220,Not available,Not available,Not available,Not available,"DIN 51524-1 (HL)
DIN 51517-2 (CL)
ISO 11158 HL
ISO-L-HL",Not available,,,2025-05-24 08:24:59.607+00,,13,,"","Low- and medium-duty hydraulic systems where antiwear performance is not required.
Circulation systems.
Low-duty equipment.","Good thermal and oxidation stability
Stable lubricating film between friction surfaces
Extended oil change intervals and equipment lifetime
Rapid air release, coupled with low foaming
Effective corrosion protection"
14,Aminol™ Hydraulic 320,"Aminol™ Hydraulic 320 is a high-quality mineral oil-based hydraulic fluid enriched with additives to improve aging stability and guard against corrosion. With anti-foaming properties, it offers protection against wear and rust while demonstrating excellent filterability.",AL/HF-0007,aminoltm-hydraulic-320,Not available,Not available,Not available,Not available,"DIN 51524-1 (HL)
DIN 51517-2 (CL)
ISO 11158 HL
ISO-L-HL",Not available,,,2025-05-24 08:24:59.617+00,,13,,"","Low- and medium-duty hydraulic systems where antiwear performance is not required.
Circulation systems.
Low-duty equipment.","Good thermal and oxidation stability
Stable lubricating film between friction surfaces
Extended oil change intervals and equipment lifetime
Rapid air release, coupled with low foaming
Effective corrosion protection"
